Pokemon,Fast Move,Charged Move,DPS,TDO,DPS^3*TDO,CP,HP,ATT,DEF,STA
Clefairy,Zen Headbutt,Moonblast,5.986,95.6,20.5,1155,,,,
Clefairy,Zen Headbutt,Body Slam,5.823,92.9,18.3,1155,,,,
Clefairy,Zen Headbutt,Disarming Voice,5.769,92.1,17.7,1155,,,,
Bagon,Bite,Return,8.284,88.8,50.5,1156,,,,
Bagon,Bite,Flamethrower,7.697,82.5,37.6,1156,,,,
Bagon,Ember,Return,7.647,82,36.6,1156,,,,
Bagon,Bite,Crunch,7.175,76.9,28.4,1156,,,,
Bagon,Ember,Flamethrower,7.136,76.5,27.8,1156,,,,
Bagon,Ember,Crunch,6.809,73,23,1156,,,,
Bagon,Bite,Twister,6.501,69.7,19.1,1156,,,,
Bagon,Ember,Twister,6.065,65,14.5,1156,,,,
Shadow Bagon,Bite,Flamethrower,9.234,82.5,64.9,1156,,,,
Shadow Bagon,Bite,Crunch,8.653,77.3,50.1,1156,,,,
Shadow Bagon,Ember,Flamethrower,8.625,77,49.4,1156,,,,
Shadow Bagon,Ember,Crunch,8.274,73.9,41.9,1156,,,,
Shadow Bagon,Bite,Twister,7.783,69.5,32.8,1156,,,,
Shadow Bagon,Ember,Twister,7.33,65.5,25.8,1156,,,,
Shadow Bagon,Bite,Frustration,2.458,22,0.3,1156,,,,
Shadow Bagon,Ember,Frustration,2.458,22,0.3,1156,,,,
Staryu,Water Gun,Bubble Beam,8.012,82.6,42.5,1157,,,,
Staryu,Water Gun,Power Gem,7.684,79.2,35.9,1157,,,,
Staryu,Quick Attack,Bubble Beam,7.648,78.9,35.3,1157,,,,
Staryu,Tackle,Bubble Beam,7.608,78.4,34.5,1157,,,,
Staryu,Quick Attack,Power Gem,7.289,75.2,29.1,1157,,,,
Staryu,Tackle,Power Gem,7.259,74.8,28.6,1157,,,,
Staryu,Water Gun,Swift,6.658,68.7,20.3,1157,,,,
Staryu,Tackle,Swift,6.225,64.2,15.5,1157,,,,
Staryu,Quick Attack,Swift,6.161,63.5,14.9,1157,,,,
Shadow Snover,Ice Shard,Ice Beam,9.051,106.8,79.2,1159,,,,
Shadow Snover,Powder Snow,Ice Beam,8.918,105.2,74.6,1159,,,,
Shadow Snover,Ice Shard,Energy Ball,8.336,98.3,57,1159,,,,
Shadow Snover,Powder Snow,Energy Ball,8.125,95.9,51.4,1159,,,,
Shadow Snover,Ice Shard,Stomp,7.599,89.6,39.3,1159,,,,
Shadow Snover,Powder Snow,Stomp,7.105,83.8,30.1,1159,,,,
Shadow Snover,Powder Snow,Frustration,2.176,25.7,0.3,1159,,,,
Shadow Snover,Ice Shard,Frustration,2.176,25.7,0.3,1159,,,,
Snover,Ice Shard,Ice Beam,7.459,105.6,43.8,1159,,,,
Snover,Powder Snow,Ice Beam,7.353,104.1,41.4,1159,,,,
Snover,Ice Shard,Return,7.147,101.2,36.9,1159,,,,
Snover,Ice Shard,Energy Ball,6.883,97.4,31.8,1159,,,,
Snover,Powder Snow,Return,6.865,97.2,31.4,1159,,,,
Snover,Powder Snow,Energy Ball,6.705,94.9,28.6,1159,,,,
Snover,Ice Shard,Stomp,6.312,89.4,22.5,1159,,,,
Snover,Powder Snow,Stomp,5.904,83.6,17.2,1159,,,,
Mankey,Karate Chop,Cross Chop,9.066,82.4,61.4,1164,,,,
Mankey,Karate Chop,Brick Break,8.806,80,54.6,1164,,,,
Mankey,Scratch,Cross Chop,8.627,78.4,50.3,1164,,,,
Mankey,Scratch,Brick Break,8.542,77.6,48.4,1164,,,,
Mankey,Karate Chop,Low Sweep,8.123,73.8,39.6,1164,,,,
Mankey,Scratch,Low Sweep,7.978,72.5,36.8,1164,,,,
Exeggcute,Confusion,Psychic,7.768,128.3,60.1,1175,,,,
Exeggcute,Bullet Seed,Psychic,7.318,120.9,47.4,1175,,,,
Exeggcute,Confusion,Seed Bomb,7.162,118.3,43.5,1175,,,,
Exeggcute,Confusion,Return,7.154,118.2,43.3,1175,,,,
Exeggcute,Bullet Seed,Seed Bomb,6.664,110.1,32.6,1175,,,,
Exeggcute,Bullet Seed,Return,6.344,104.8,26.7,1175,,,,
Exeggcute,Confusion,Ancient Power,5.684,93.9,17.2,1175,,,,
Exeggcute,Bullet Seed,Ancient Power,5.224,86.3,12.3,1175,,,,
Shadow Exeggcute,Confusion,Psychic,9.4,129.4,107.5,1175,,,,
Shadow Exeggcute,Bullet Seed,Psychic,8.864,122,85,1175,,,,
Shadow Exeggcute,Confusion,Seed Bomb,8.661,119.2,77.4,1175,,,,
Shadow Exeggcute,Bullet Seed,Seed Bomb,8.078,111.2,58.6,1175,,,,
Shadow Exeggcute,Confusion,Ancient Power,6.826,94,29.9,1175,,,,
Shadow Exeggcute,Bullet Seed,Ancient Power,6.311,86.9,21.8,1175,,,,
Shadow Exeggcute,Confusion,Frustration,2.058,28.3,0.2,1175,,,,
Shadow Exeggcute,Bullet Seed,Frustration,2.058,28.3,0.2,1175,,,,
Zorua,Feint Attack,Foul Play,10.305,89.8,98.2,1175,,,,
Zorua,Scratch,Foul Play,9.886,86.1,83.2,1175,,,,
Zorua,Feint Attack,Dark Pulse,9.601,83.7,74,1175,,,,
Zorua,Scratch,Dark Pulse,9.315,81.2,65.6,1175,,,,
Zorua,Feint Attack,Aerial Ace,8.183,71.3,39.1,1175,,,,
Zorua,Scratch,Aerial Ace,8.041,70.1,36.4,1175,,,,
Karrablast,Fury Cutter,X-Scissor,9.03,97.2,71.5,1182,,,,
Karrablast,Fury Cutter,Signal Beam,8.64,93,60,1182,,,,
Karrablast,Peck,X-Scissor,8.125,87.4,46.9,1182,,,,
Karrablast,Fury Cutter,Drill Run,8.063,86.7,45.5,1182,,,,
Karrablast,Peck,Signal Beam,7.809,84,40,1182,,,,
Karrablast,Fury Cutter,Aerial Ace,7.359,79.2,31.6,1182,,,,
Karrablast,Peck,Drill Run,7.308,78.6,30.7,1182,,,,
Karrablast,Peck,Aerial Ace,6.86,73.8,23.8,1182,,,,
Unown,Hidden Power (Psychic),Struggle,5.521,60.5,10.2,1185,,,,
Unown,Hidden Power,Struggle,5.521,60.5,10.2,1185,,,,
Unown,Hidden Power (Fire),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Fighting),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Water),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Flying),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Grass),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Poison),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Electric),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Ground),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Rock),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Ice),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Bug),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Dragon),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Ghost),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Dark),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power (Steel),Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Unown,Hidden Power,Struggle,5.169,56.7,7.8,1185,,,,
Shadow Turtwig,Razor Leaf,Seed Bomb,9.546,111.1,96.6,1187,,,,
Shadow Turtwig,Tackle,Seed Bomb,9.139,106.4,81.2,1187,,,,
Shadow Turtwig,Razor Leaf,Energy Ball,8.934,104,74.2,1187,,,,
Shadow Turtwig,Tackle,Energy Ball,8.505,99,60.9,1187,,,,
Shadow Turtwig,Razor Leaf,Body Slam,8.468,98.6,59.8,1187,,,,
Shadow Turtwig,Tackle,Body Slam,7.874,91.6,44.7,1187,,,,
Shadow Turtwig,Tackle,Frustration,2.236,26,0.3,1187,,,,
Shadow Turtwig,Razor Leaf,Frustration,2.236,26,0.3,1187,,,,
Turtwig,Razor Leaf,Seed Bomb,7.88,110.1,53.9,1187,,,,
Turtwig,Razor Leaf,Return,7.831,109.4,52.5,1187,,,,
Turtwig,Tackle,Seed Bomb,7.557,105.5,45.6,1187,,,,
Turtwig,Razor Leaf,Energy Ball,7.405,103.4,42,1187,,,,
Turtwig,Tackle,Return,7.3,102,39.7,1187,,,,
Turtwig,Tackle,Energy Ball,7.058,98.6,34.7,1187,,,,
Turtwig,Razor Leaf,Body Slam,7.037,98.3,34.3,1187,,,,
Turtwig,Tackle,Body Slam,6.557,91.6,25.8,1187,,,,
Golett,Mud Slap,Shadow Punch,7.681,95.8,43.4,1189,,,,
Golett,Mud Slap,Night Shade,7.465,93.1,38.7,1189,,,,
Golett,Mud Slap,Brick Break,7.139,89.1,32.4,1189,,,,
Golett,Astonish,Shadow Punch,6.875,85.8,27.9,1189,,,,
Golett,Astonish,Night Shade,6.61,82.5,23.8,1189,,,,
Golett,Astonish,Brick Break,6.212,77.5,18.6,1189,,,,
Pidgeotto,Wing Attack,Aerial Ace,7.236,105.5,40,1194,,,,
Pidgeotto,Steel Wing,Aerial Ace,7.194,104.8,39,1194,,,,
Pidgeotto,Steel Wing,Air Cutter,6.604,96.2,27.7,1194,,,,
Pidgeotto,Wing Attack,Air Cutter,6.575,95.8,27.2,1194,,,,
Pidgeotto,Steel Wing,Twister,5.283,77,11.4,1194,,,,
Pidgeotto,Wing Attack,Twister,5.094,74.2,9.8,1194,,,,
Drifloon,Hex,Shadow Ball,8.994,131.6,95.8,1197,,,,
Drifloon,Astonish,Shadow Ball,8.872,129.9,90.7,1197,,,,
Drifloon,Hex,Ominous Wind,6.844,100.2,32.1,1197,,,,
Drifloon,Astonish,Ominous Wind,6.727,98.5,30,1197,,,,
Drifloon,Hex,Icy Wind,5.476,80.1,13.2,1197,,,,
Drifloon,Astonish,Icy Wind,5.393,78.9,12.4,1197,,,,
Lombre,Bubble,Grass Knot,8.245,130.3,73.1,1197,,,,
Lombre,Razor Leaf,Grass Knot,8.212,129.8,71.9,1197,,,,
Lombre,Razor Leaf,Bubble Beam,6.944,109.8,36.7,1197,,,,
Lombre,Razor Leaf,Ice Beam,6.806,107.6,33.9,1197,,,,
Lombre,Bubble,Bubble Beam,6.664,105.3,31.2,1197,,,,
Lombre,Bubble,Ice Beam,6.524,103.1,28.6,1197,,,,
Doduo,Quick Attack,Drill Peck,10.366,88.8,99,1200,,,,
Doduo,Peck,Drill Peck,9.979,85.5,85,1200,,,,
Doduo,Quick Attack,Aerial Ace,9.488,81.3,69.4,1200,,,,
Doduo,Peck,Aerial Ace,9.173,78.6,60.7,1200,,,,
Doduo,Quick Attack,Brave Bird,8.829,75.7,52.1,1200,,,,
Doduo,Quick Attack,Swift,8.393,71.9,42.5,1200,,,,
Doduo,Peck,Brave Bird,8.168,70,38.1,1200,,,,
Doduo,Peck,Swift,8.074,69.2,36.4,1200,,,,
Roggenrola,Smack Down,Power Gem,7.895,110.3,54.3,1205,,,,
Roggenrola,Tackle,Power Gem,7.562,105.6,45.7,1205,,,,
Roggenrola,Smack Down,Rock Blast,7.553,105.5,45.5,1205,,,,
Roggenrola,Smack Down,Stone Edge,7.441,103.9,42.8,1205,,,,
Roggenrola,Tackle,Rock Blast,7.169,100.1,36.9,1205,,,,
Roggenrola,Tackle,Stone Edge,6.941,96.9,32.4,1205,,,,
Roggenrola,Smack Down,Bulldoze,6.676,93.2,27.8,1205,,,,
Roggenrola,Tackle,Bulldoze,6.153,85.9,20,1205,,,,
Elekid,Thunder Shock,Thunderbolt,9.202,105.9,82.5,1206,,,,
Elekid,Thunder Shock,Discharge,9.017,103.8,76.1,1206,,,,
Elekid,Low Kick,Discharge,8.651,99.6,64.5,1206,,,,
Elekid,Low Kick,Thunderbolt,8.65,99.6,64.4,1206,,,,
Elekid,Thunder Shock,Thunder Punch,8.1,93.2,49.6,1206,,,,
Elekid,Low Kick,Thunder Punch,7.734,89,41.2,1206,,,,
Elekid,Thunder Shock,Brick Break,6.979,80.3,27.3,1206,,,,
Elekid,Low Kick,Brick Break,6.711,77.3,23.3,1206,,,,
Phanpy,Tackle,Bulldoze,6.448,112.3,30.1,1206,,,,
Phanpy,Tackle,Rock Slide,6.42,111.8,29.6,1206,,,,
Phanpy,Tackle,Body Slam,6.143,106.9,24.8,1206,,,,
Phanpy,Rock Smash,Bulldoze,6.138,106.9,24.7,1206,,,,
Phanpy,Rock Smash,Rock Slide,6.067,105.6,23.6,1206,,,,
Phanpy,Rock Smash,Body Slam,5.848,101.8,20.4,1206,,,,
Pachirisu,Spark,Thunderbolt,6.61,145.8,42.1,1213,,,,
Pachirisu,Volt Switch,Thunderbolt,6.391,141,36.8,1213,,,,
Pachirisu,Spark,Thunder,5.845,128.9,25.7,1213,,,,
Pachirisu,Spark,Thunder Punch,5.818,128.3,25.3,1213,,,,
Pachirisu,Volt Switch,Thunder Punch,5.617,123.9,22,1213,,,,
Pachirisu,Volt Switch,Thunder,5.469,120.6,19.7,1213,,,,
Koffing,Acid,Sludge Bomb,8.378,122.4,72,1214,,,,
Koffing,Tackle,Sludge Bomb,7.914,115.7,57.3,1214,,,,
Koffing,Infestation,Sludge Bomb,7.813,114.2,54.5,1214,,,,
Koffing,Acid,Return,7.701,112.5,51.4,1214,,,,
Koffing,Acid,Sludge,7.284,106.5,41.1,1214,,,,
Koffing,Tackle,Return,7.109,103.9,37.3,1214,,,,
Koffing,Tackle,Sludge,6.895,100.8,33,1214,,,,
Koffing,Infestation,Return,6.867,100.4,32.5,1214,,,,
Koffing,Acid,Dark Pulse,6.798,99.4,31.2,1214,,,,
Koffing,Infestation,Sludge,6.698,97.9,29.4,1214,,,,
Koffing,Tackle,Dark Pulse,6.376,93.2,24.2,1214,,,,
Koffing,Infestation,Dark Pulse,6.132,89.6,20.7,1214,,,,
Shadow Koffing,Acid,Sludge Bomb,10.072,122.7,125.3,1214,,,,
Shadow Koffing,Tackle,Sludge Bomb,9.486,115.5,98.6,1214,,,,
Shadow Koffing,Infestation,Sludge Bomb,9.412,114.6,95.6,1214,,,,
Shadow Koffing,Acid,Sludge,8.75,106.6,71.4,1214,,,,
Shadow Koffing,Tackle,Sludge,8.268,100.7,56.9,1214,,,,
Shadow Koffing,Acid,Dark Pulse,8.133,99.1,53.3,1214,,,,
Shadow Koffing,Infestation,Sludge,8.078,98.4,51.9,1214,,,,
Shadow Koffing,Tackle,Dark Pulse,7.601,92.6,40.7,1214,,,,
Shadow Koffing,Infestation,Dark Pulse,7.361,89.7,35.8,1214,,,,
Shadow Koffing,Tackle,Frustration,2.236,27.2,0.3,1214,,,,
Shadow Koffing,Infestation,Frustration,2.236,27.2,0.3,1214,,,,
Shadow Koffing,Acid,Frustration,2.236,27.2,0.3,1214,,,,
Spinda,Sucker Punch,Dig,5.865,90.6,18.3,1220,,,,
Spinda,Psycho Cut,Dig,5.811,89.8,17.6,1220,,,,
Spinda,Sucker Punch,Rock Tomb,5.637,87.1,15.6,1220,,,,
Spinda,Psycho Cut,Rock Tomb,5.551,85.8,14.7,1220,,,,
Spinda,Sucker Punch,Icy Wind,5.355,82.8,12.7,1220,,,,
Spinda,Psycho Cut,Icy Wind,5.285,81.7,12.1,1220,,,,
Dustox,Struggle Bug,Sludge Bomb,6.689,139.7,41.8,1224,,,,
Dustox,Confusion,Sludge Bomb,6.661,139.1,41.1,1224,,,,
Dustox,Struggle Bug,Bug Buzz,5.963,124.5,26.4,1224,,,,
Dustox,Confusion,Bug Buzz,5.961,124.5,26.4,1224,,,,
Dustox,Confusion,Silver Wind,5.471,114.2,18.7,1224,,,,
Dustox,Struggle Bug,Silver Wind,5.461,114,18.6,1224,,,,
Dwebble,Smack Down,X-Scissor,7.621,115,50.9,1224,,,,
Dwebble,Smack Down,Rock Blast,7.312,110.3,43.1,1224,,,,
Dwebble,Cut,X-Scissor,7.24,109.2,41.4,1224,,,,
Dwebble,Cut,Rock Blast,6.926,104.5,34.7,1224,,,,
Dwebble,Smack Down,Rock Tomb,6.888,103.9,34,1224,,,,
Dwebble,Cut,Rock Tomb,6.417,96.8,25.6,1224,,,,
Shadow Vibrava,Dragon Breath,Bulldoze,9.841,98.6,94,1225,,,,
Shadow Vibrava,Mud Shot,Bulldoze,9.249,92.7,73.3,1225,,,,
Shadow Vibrava,Dragon Breath,Bug Buzz,9.206,92.3,72,1225,,,,
Shadow Vibrava,Mud Shot,Bug Buzz,8.56,85.8,53.8,1225,,,,
Shadow Vibrava,Dragon Breath,Sand Tomb,7.893,79.1,38.9,1225,,,,
Shadow Vibrava,Mud Shot,Sand Tomb,7.47,74.9,31.2,1225,,,,
Shadow Vibrava,Dragon Breath,Frustration,2.458,24.6,0.4,1225,,,,
Shadow Vibrava,Mud Shot,Frustration,2.458,24.6,0.4,1225,,,,
Vibrava,Dragon Breath,Return,8.961,107.8,77.5,1225,,,,
Vibrava,Mud Shot,Return,8.237,99,55.3,1225,,,,
Vibrava,Dragon Breath,Bulldoze,8.198,98.6,54.3,1225,,,,
Vibrava,Dragon Breath,Bug Buzz,7.692,92.5,42.1,1225,,,,
Vibrava,Mud Shot,Bulldoze,7.665,92.2,41.5,1225,,,,
Vibrava,Mud Shot,Bug Buzz,7.109,85.5,30.7,1225,,,,
Vibrava,Dragon Breath,Sand Tomb,6.616,79.6,23,1225,,,,
Vibrava,Mud Shot,Sand Tomb,6.197,74.5,17.7,1225,,,,
Slowpoke,Water Gun,Psychic,8.21,142.9,79.1,1226,,,,
Slowpoke,Confusion,Psychic,8.17,142.2,77.6,1226,,,,
Slowpoke,Water Gun,Psyshock,7.41,129,52.5,1226,,,,
Slowpoke,Confusion,Psyshock,7.396,128.8,52.1,1226,,,,
Slowpoke,Confusion,Water Pulse,6.557,114.1,32.2,1226,,,,
Slowpoke,Water Gun,Water Pulse,6.524,113.6,31.5,1226,,,,
Nuzleaf,Feint Attack,Grass Knot,10.149,122.5,128,1227,,,,
Nuzleaf,Feint Attack,Leaf Blade,10.08,121.7,124.6,1227,,,,
Nuzleaf,Razor Leaf,Grass Knot,10.03,121.1,122.1,1227,,,,
Nuzleaf,Razor Leaf,Leaf Blade,10.024,121,121.9,1227,,,,
Nuzleaf,Feint Attack,Foul Play,9.465,114.2,96.9,1227,,,,
Nuzleaf,Razor Leaf,Foul Play,9.423,113.7,95.2,1227,,,,
Nuzleaf,Razor Leaf,Return,8.967,108.2,78,1227,,,,
Nuzleaf,Feint Attack,Return,8.898,107.4,75.7,1227,,,,
Shadow Nuzleaf,Feint Attack,Grass Knot,12.406,124.8,238.2,1227,,,,
Shadow Nuzleaf,Feint Attack,Leaf Blade,12.367,124.4,235.3,1227,,,,
Shadow Nuzleaf,Razor Leaf,Leaf Blade,12.317,123.9,231.5,1227,,,,
Shadow Nuzleaf,Razor Leaf,Grass Knot,12.281,123.5,228.8,1227,,,,
Shadow Nuzleaf,Feint Attack,Foul Play,11.531,116,177.8,1227,,,,
Shadow Nuzleaf,Razor Leaf,Foul Play,11.493,115.6,175.5,1227,,,,
Shadow Nuzleaf,Razor Leaf,Frustration,2.458,24.7,0.4,1227,,,,
Shadow Nuzleaf,Feint Attack,Frustration,2.458,24.7,0.4,1227,,,,
Oddish,Acid,Sludge Bomb,9.245,116.5,92.1,1228,,,,
Oddish,Razor Leaf,Sludge Bomb,9.059,114.2,84.9,1228,,,,
Oddish,Acid,Seed Bomb,8.532,107.5,66.8,1228,,,,
Oddish,Razor Leaf,Seed Bomb,8.498,107.1,65.7,1228,,,,
Oddish,Acid,Return,8.474,106.8,65,1228,,,,
Oddish,Razor Leaf,Return,8.431,106.3,63.7,1228,,,,
Oddish,Razor Leaf,Moonblast,7.334,92.4,36.5,1228,,,,
Oddish,Acid,Moonblast,7.224,91,34.3,1228,,,,
Shadow Oddish,Acid,Sludge Bomb,11.162,117.2,163,1228,,,,
Shadow Oddish,Razor Leaf,Sludge Bomb,10.959,115.1,151.5,1228,,,,
Shadow Oddish,Acid,Seed Bomb,10.315,108.3,118.9,1228,,,,
Shadow Oddish,Razor Leaf,Seed Bomb,10.288,108.1,117.7,1228,,,,
Shadow Oddish,Razor Leaf,Moonblast,8.705,91.4,60.3,1228,,,,
Shadow Oddish,Acid,Moonblast,8.551,89.8,56.2,1228,,,,
Shadow Oddish,Acid,Frustration,2.413,25.3,0.4,1228,,,,
Shadow Oddish,Razor Leaf,Frustration,2.413,25.3,0.4,1228,,,,
Gastly,Lick,Sludge Bomb,13.064,87,193.9,1229,,,,
Gastly,Sucker Punch,Sludge Bomb,12.127,80.7,144,1229,,,,
Gastly,Astonish,Sludge Bomb,11.752,78.2,127,1229,,,,
Gastly,Lick,Ominous Wind,10.732,71.5,88.3,1229,,,,
Gastly,Lick,Dark Pulse,10.272,68.4,74.1,1229,,,,
Gastly,Lick,Night Shade,10.252,68.3,73.5,1229,,,,
Gastly,Sucker Punch,Ominous Wind,10.122,67.4,69.9,1229,,,,
Gastly,Astonish,Ominous Wind,9.783,65.1,61,1229,,,,
Gastly,Sucker Punch,Dark Pulse,9.533,63.5,55,1229,,,,
Gastly,Sucker Punch,Night Shade,9.455,63,53.2,1229,,,,
Gastly,Astonish,Dark Pulse,9.145,60.9,46.6,1229,,,,
Gastly,Astonish,Night Shade,9.044,60.2,44.5,1229,,,,
Corphish,Bubble,Bubble Beam,8.131,90.1,48.4,1230,,,,
Corphish,Rock Smash,Bubble Beam,7.567,83.8,36.3,1230,,,,
Corphish,Bubble,Aqua Jet,6.923,76.7,25.4,1230,,,,
Corphish,Rock Smash,Aqua Jet,6.603,73.1,21.1,1230,,,,
Corphish,Bubble,Vise Grip,6.202,68.7,16.4,1230,,,,
Corphish,Rock Smash,Vise Grip,5.915,65.5,13.6,1230,,,,
Houndour,Feint Attack,Flamethrower,9.928,96.5,94.5,1234,,,,
Houndour,Feint Attack,Return,9.705,94.4,86.3,1234,,,,
Houndour,Feint Attack,Dark Pulse,9.557,92.9,81.1,1234,,,,
Houndour,Ember,Flamethrower,9.542,92.8,80.6,1234,,,,
Houndour,Feint Attack,Crunch,9.367,91.1,74.9,1234,,,,
Houndour,Ember,Return,9.23,89.8,70.6,1234,,,,
Houndour,Ember,Dark Pulse,9.227,89.7,70.5,1234,,,,
Houndour,Ember,Crunch,9.154,89,68.3,1234,,,,
Shadow Houndour,Feint Attack,Flamethrower,12.031,97.5,169.8,1234,,,,
Shadow Houndour,Ember,Flamethrower,11.583,93.9,145.9,1234,,,,
Shadow Houndour,Feint Attack,Dark Pulse,11.579,93.8,145.7,1234,,,,
Shadow Houndour,Feint Attack,Crunch,11.398,92.4,136.8,1234,,,,
Shadow Houndour,Ember,Dark Pulse,11.199,90.8,127.5,1234,,,,
Shadow Houndour,Ember,Crunch,11.169,90.5,126.1,1234,,,,
Shadow Houndour,Feint Attack,Frustration,2.725,22.1,0.4,1234,,,,
Shadow Houndour,Ember,Frustration,2.725,22.1,0.4,1234,,,,
Farfetch'd,Cut,Leaf Blade,7.918,111.4,55.3,1236,,,,
Farfetch'd,Fury Cutter,Leaf Blade,7.828,110.2,52.8,1236,,,,
Farfetch'd,Air Slash,Leaf Blade,7.754,109.1,50.9,1236,,,,
Farfetch'd,Cut,Aerial Ace,7.604,107,47.1,1236,,,,
Farfetch'd,Fury Cutter,Aerial Ace,7.47,105.1,43.8,1236,,,,
Farfetch'd,Air Slash,Aerial Ace,7.465,105.1,43.7,1236,,,,
Farfetch'd,Cut,Air Cutter,6.958,97.9,33,1236,,,,
Farfetch'd,Air Slash,Air Cutter,6.845,96.3,30.9,1236,,,,
Farfetch'd,Fury Cutter,Air Cutter,6.686,94.1,28.1,1236,,,,
Snubbull,Bite,Dazzling Gleam,9.348,110.3,90.1,1237,,,,
Snubbull,Tackle,Dazzling Gleam,9.299,109.7,88.2,1237,,,,
Snubbull,Bite,Crunch,7.401,87.3,35.4,1237,,,,
Snubbull,Bite,Brick Break,7.281,85.9,33.2,1237,,,,
Snubbull,Tackle,Crunch,7.26,85.6,32.8,1237,,,,
Snubbull,Tackle,Brick Break,7.027,82.9,28.8,1237,,,,
Cacnea,Sucker Punch,Grass Knot,11.089,104.1,141.9,1242,,,,
Cacnea,Poison Sting,Grass Knot,10.862,102,130.7,1242,,,,
Cacnea,Sucker Punch,Seed Bomb,9.878,92.7,89.4,1242,,,,
Cacnea,Poison Sting,Seed Bomb,9.682,90.9,82.5,1242,,,,
Cacnea,Sucker Punch,Return,9.449,88.7,74.8,1242,,,,
Cacnea,Poison Sting,Return,9.088,85.3,64,1242,,,,
Cacnea,Sucker Punch,Brick Break,7.833,73.5,35.3,1242,,,,
Cacnea,Poison Sting,Brick Break,7.569,71.1,30.8,1242,,,,
Shadow Cacnea,Sucker Punch,Grass Knot,13.548,106,263.5,1242,,,,
Shadow Cacnea,Poison Sting,Grass Knot,13.282,103.9,243.5,1242,,,,
Shadow Cacnea,Sucker Punch,Seed Bomb,12.089,94.6,167.1,1242,,,,
Shadow Cacnea,Poison Sting,Seed Bomb,11.868,92.8,155.2,1242,,,,
Shadow Cacnea,Sucker Punch,Brick Break,9.485,74.2,63.3,1242,,,,
Shadow Cacnea,Poison Sting,Brick Break,9.177,71.8,55.5,1242,,,,
Shadow Cacnea,Sucker Punch,Frustration,2.784,21.8,0.5,1242,,,,
Shadow Cacnea,Poison Sting,Frustration,2.784,21.8,0.5,1242,,,,
Growlithe,Bite,Flamethrower,8.704,105,69.3,1243,,,,
Growlithe,Ember,Flamethrower,8.683,104.8,68.6,1243,,,,
Growlithe,Bite,Return,8.431,101.7,61,1243,,,,
Growlithe,Ember,Return,8.371,101,59.3,1243,,,,
Growlithe,Bite,Body Slam,7.605,91.8,40.4,1243,,,,
Growlithe,Ember,Body Slam,7.49,90.4,38,1243,,,,
Growlithe,Bite,Flame Wheel,7.412,89.4,36.4,1243,,,,
Growlithe,Ember,Flame Wheel,7.286,87.9,34,1243,,,,
Shadow Growlithe,Ember,Flamethrower,10.536,105.9,123.9,1243,,,,
Shadow Growlithe,Bite,Flamethrower,10.516,105.7,123,1243,,,,
Shadow Growlithe,Bite,Body Slam,9.161,92.1,70.8,1243,,,,
Shadow Growlithe,Ember,Body Slam,9.069,91.2,68,1243,,,,
Shadow Growlithe,Bite,Flame Wheel,8.894,89.4,62.9,1243,,,,
Shadow Growlithe,Ember,Flame Wheel,8.794,88.4,60.1,1243,,,,
Shadow Growlithe,Bite,Frustration,2.488,25,0.4,1243,,,,
Shadow Growlithe,Ember,Frustration,2.488,25,0.4,1243,,,,
Mantyke,Bubble,Aerial Ace,6.282,120.9,30,1248,,,,
Mantyke,Tackle,Aerial Ace,6.175,118.9,28,1248,,,,
Mantyke,Bubble,Ice Beam,6.029,116.1,25.4,1248,,,,
